issueNumber,prNumber,Util,APM,Network,DB,Error Handling,Logging,Lang,Data Structure,i18n,Setup,Logic,IO,UI,Parser,Event Handling,App,GIS,Multimedia,CG,corpus
38,39,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,this is basically a recreation of without any stylistic changes only fixing the uninitialized variables
946,43,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,if an effect has two input channels but only one output channel we cannot read from the second output buffer as there isnâ€™t onethis hopefully fixes http bugzillaaudacityteamorg show_bugcgiid
163,165,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,update to pr using vector now instead of dynamic array size ive never seen where this didnt work in years but better to keep standard compliant this is not critical to performance so better to forget using alloca as wellalso w w recalculated every iteration so it can work with new fisheye feature i did not special case this for the non openmp as it was before since its very small component of the total and i imagine the compiler can do that for usi left the const ref change alone per james comment imo it is just a bizarre thing to do i think we can be pretty sure the code generated is not any worse as there is nothing to dereference in the loops
464,465,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
602,603,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,0,if pull request isnt yet reviewed and accepted please review and merge this smaller one firstfix possible memory leaks and crashes when opening of sqlite database failsthere are now exceptions thrown in some new places with messages for the user that might be improved
699,700,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,this fixes cve by setting the permissions for the user tmp folder to closes
984,986,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,resolves fix uses the approach proposed by david bailes short description of the changes and the motivation to make the changes i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1048,1050,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves check for updates dialog will very probably not unexpectedly interrupt recordings possibly spoiling them if there is a screen reader there is one slender timing possibility mentioned in code comments where it might yet happen more thread synchronizations might fix that but do not seem worth the extra effort now i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1164,1167,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves check for updates has been so that its modal dialog will wait until any recording in progress finishes but that was not enough it should also not interrupt the timer recording wait dialog this commit fixes that too i have tested it with amodified build making more frequent checks i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1191,1192,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,resolves these can happen in only two ways using the application from the toolsmenu or using the windows intaller programa review of all uses of wxfileconfig deleteall proves thisthe one special boolsetting object was moved from updatemanager to prefscpp toavoid a dependency cycle among source code files i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1200,1204,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1181,1207,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,resolves resolves adds affordances to a wave clips note track item labels contains requested fixes and improvements link above i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1251,1207,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,resolves resolves adds affordances to a wave clips note track item labels contains requested fixes and improvements link above i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1042,1208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,in particular so that warnings on exit in the debug build on windows aresuppressedmaybe its not important to suppress them or maybe they suggest all is notcorrect in the msvc implementation of this c featureresolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1174,1219,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,this bug still available in case using old settings file or manual set it into settings fileresolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1183,1265,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,0,1,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1268,1271,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1243,1297,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvementswindows with error information for temporary directory cases https user imagesentcom d cc eb a b e b ec e png
1298,1300,1,1,0,0,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,resolves stack trace showed main thread was shutting down network manager which was waiting to join a response thread which was executing the lambda in updatemanager which was using the global audioio object which was destroyed before that at least on the main threadthis is a simple fix destroy audioio after that not before i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1305,1306,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,the check for macro directory now only happens if directory is selected and existsresolves short description of the changes and the motivation to make the changes i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1312,1313,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves the bug is difficult to reproduce but this is a plausible fix for it given what we know from a stack trace i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1294,1314,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,0,0,problem was the loss of an override of pluginmanager getid for a morespecific pointer typeresolves short description of the changes and the motivation to make the changes i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1162,1322,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,1,0,toolkit neutral library for audacitys exception handling system i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1199,1323,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1060,1328,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,resolves a library of classes that manage global variable settings that persist between runs of the application i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1329,1344,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,and in started crashing instead just disallow it again nofunctionality lostresolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1159,1345,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,resolves depends on pr extract a tool kit neutral library for some mathematical and sample processing utilities make only the library directly dependent on libsoxrnote that only the last five commits are proper to this pr i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1160,1359,1,1,0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,resolves a library for general file handling utilities and definitions of certain significant file paths which does not depend on wxcore though it does still depend heavily on wxbase i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1376,1377,0,0,0,1,1,0,0,1,0,1,1,1,1,0,1,1,0,1,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1403,1416,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,resolves beginnings of built in tools for easy creation of automated functional regression tests in alpha builds onlycertain events can be recorded to journaltxt in the folder with audacitycfg if this has been enabled in the tools menu and then played back if that file is specified with the j command line optionso far only menu items that require no dialogs or their shortcut keystroke equivalents or certain toolbar buttons that invoke those commands can be played back some simple sessions such as just exiting the program can replayaudacity returns a non zero status to the shell if journal playback fails because the programs state is out of sync with what the journal file expects no examples yet of how to force that failure i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1163,1429,0,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,resolves library of useful utilities for decoupling of sub systems and making them open ended the big o of solidbeware here be dragons much use of c templates i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1363,1437,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1421,1441,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,which broke at a f dresolves resolves events were failing to be processed because event types were set incorrectly i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1369,1441,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,1,0,which broke at a f dresolves resolves events were failing to be processed because event types were set incorrectly i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1375,1475,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,resolves resizing area added to the wavetrackview and wavetrackaffordancecontrol making possible to have an enlarged resizing area with px distance between channels i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1158,1478,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,resolves extract a library for serialization and deserialization of objects in xml form and a registry for serializable objectsattached directly to the project i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1404,1482,0,0,0,0,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0,resolves the journalling system is now enhanced enough that it can replay some interactions with modal dialogs including pushbuttons choice controls text boxes and sliders i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1496,1495,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,resolves rewrite dithercpp more clearly with c functions not macrosjust a preliminary to a preliminary to some audioio cleanup i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1501,1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1476,1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1477,1502,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,0,resolves resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
998,1504,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,0,resolves resolves working context menus for background area and audio clipsnotes about some details where the issue description differs from this implementation or is underspecified all important words are capitalized consistent with other menu items for instance split clip split clip will split only the picked clip whether or not the track is selected at the pick point this is unlike the toolbar menu which splits all selected tracks at the selection paste will paste at the pick point ignoring the selection unlike the other ways of invoking paste mute unmute track has shift u as its default keystroke see extra tracks sub menu and see interface preferences to enable the extra menu the popup menu command will do that to the track you pick in ignoring which tracks are in selected state export audio rather than export project because that agrees with the toolbar menu and the convention that commands bringing up modal dialogs need ellipsis in the name the clip context menu appears only when clicking on the wave or spectrogram areas not on the drag bar or in voids between clips the accelerator keys appear not necessarily as the defaults in the pictures of course but are consistent with whatever keystrokes have been chosen in preferences context menu items will be grayed out and disabled in the same cases that the corresponding toolbar menus would be for instance adding new tracks is not permitted during recording or playback i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1144,1527,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,resolves extract a library of utilities for querying the available audio devices finding their preferred sample rates holding certain related global preferences variables and also the interface class meter for transferring buffers of samples for purposes of display updatesthis does not contain the complete playback and recording audio engine when wavetrack is a library it will need only this part to set default sample rates of wave tracks appropriatelydoing this separation now is also desirable as a prelude to other refactorings of the audio engine i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1182,1533,1,0,0,0,0,0,0,1,0,1,1,1,1,1,1,0,0,1,0,resolves i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1153,1586,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,resolves platform neutral library defining the audacityproject object and associated projectstatus which just holds some strings there is also some fixing of some possible null pointer dereferences of the global active project which might be null on macos i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1152,1587,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,resolves depends on pr extract a toolkit neutral library for mapping of screen x coordinates to times and y coordinates to amplitudes or frequencies i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1143,1588,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,resolves depends on a library holding the global preferences for project rate and sample format and defining the per project holding sample rate it depend on lib audio devices to decide the default ratewhen wave tracks are separated into a library that will depend on this for construction of tracks but will avoid dependency on all of audioio i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1580,1594,0,0,0,1,0,0,0,0,0,1,1,1,1,0,1,1,0,1,0,resolves some refactoring tasks in audioio before disentangling the midi playback parts i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1590,1602,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,the dialog wont actually reappear but the same value will be returned tothe programthese message boxes are special native ones that dont use the wxwidgets eventframework therefore the system for journalling of mouse button presses doesnot work with them treat them speciallya generalized facility added to namespace journal in case this pattern needs tobe repeated for other actionsresolves short description of the changes and the motivation to make the changes i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1258,1614,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,resolves short description of the changes and the motivation to make the changes i signed cla i made sure the code compiles on my machine i made sure there are no unnecessary changes in the code i made sure the title of the pr reflects the core meaning of the issue you are solving i made sure the commit message s contain a description and answer the question why do those changes fix that particular issue or why are those changes really necessary as improvements
1444,1616,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,resolves short description of the changes and the motivation to make the changes i signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is a sequence of easily reviewable commits each commits message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the prrecommended each commit compiles and runs on my machine without known undesirable changes of behavior
1544,1616,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,resolves short description of the changes and the motivation to make the changes i signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is a sequence of easily reviewable commits each commits message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the prrecommended each commit compiles and runs on my machine without known undesirable changes of behavior
398,1623,1,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,0,resolves resolves resolves resolves resolves resolves supporting multiple ffmpeg versions is tricky yet important for audacity as we could not distribute the correct ffmpeg version with the program itself this leads to a problem where updating ffmpeg can be problematic this is especially true as a new major version is soon to be releasedthe main problem with ffmpeg is that it exposes several structures and expects library users to fill them up during the configuration these structures can change between major version bumps while the api is mostly stable this is unlike other c libraries where structure fields are accessed using the library provided functionsthis pr allows generating a single header file for a specific ffmpeg version surprisingly it had required a large subset of c preprocessors to be implemented provides wrappers around used ffmpeg structures the wrappers are used as raii objects where applicable the wrappers are implemented in inl files which are later included in c files after the correct ffmpeg header ie currently each wrapper is compiled twice wrappers rarely have ffmpeg version dependent code fixes few incompatibilities between ffmpeg versions sample format conversions from ffmpeg are templatazied all formats are now supported the reverse process was not modifiedi have tried to keep changes in importffmpeg and exportffmpeg small and trivial in the future we may want to reimplement them as wellcurrently avformat and avformat are supported i dont see much reason to support and when will be released and current dev branches are it will be added to the list this should be a trivial taskbuilds were tested against and surprisingly support was different and the most difficult from while the major version stayed the same ffmpeg was downloaded from the official page the system library on manjaro i signed cla the title of the pull request describes an issue it addresses if changes are extensive then there is a sequence of easily reviewable commits each commits message describes its purpose and effects there are no behavior changes unnecessary for the stated purpose of the prrecommended each commit compiles and runs on my machine without known undesirable changes of behavior
