prNumber,DB,DB,Interpreter,Logging,Thread,Data Structure,DevOps,DevOps,i18n,i18n,Logic,Microservices,ML,ML,Test,Search,IO,IO,UI,UI,Parser,Security,Cloud,Big Data,App,App,GIS,GIS,Util,Util,NLP,NLP,APM,APM,Network,prTitle,prBody,prIssue,issueNumber,issueTitle,issueBody,prComments,issueTitleLink,issueBodyLink,issue_Comments,isPR,isTrain,commitMessage,prCodeReviewComments,Util,Util,NLP,NLP,APM,APM,DB,DB,Multi Thread,Error Handling,Lang,DevOps,DevOps,i18n,i18n,Setup,ML,ML,IO,IO,UI,UI,Event Handling,App,App,GIS,GIS,Multimedia,CG
3117,0.0,0,0.0,0.0,1.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> fix tostring of nonserializablememoizingsupplier  3107  9185822ee16cdd641657c0f8e7ead755c9e9a564  -------  <p> use splitter instead of string.split  in internetdomainname.  e56f1aa3d21b04eed8f5481d4103c05af5c51ec7  -------  <p> use splitter for ipv6  too. this eliminates usage of java.util.regex from this file (which is used via string.split  otherwise).  65a2a7de4ef4eea913f769a5cbbce6e35e1fccce  -------  <p> use diamond.  27eb336c2a2d9068878edbf49edcca493cd69cd8  -------  <p> automated rollback of a12ef6b46b26fe178021c099e3db6a8a99f5174e.  it looks like the original change can cause an infinite loop in localcache.loadingvaluereference.get().  c2266a6ff8c6f298673688d6779b8b7368fe9147  -------  <p> don t enable use of unsafe.getlong() on aarch64 devices.  android devices may report to run aarch64 while running in 32-bit mode  and then crash when loading 64-bit values at unaligned addresses.  263bbcf6cf0cfae6768ddf9e9f3d749da555e422,,3107,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> fix tostring of nonserializablememoizingsupplier31079185822ee16cdd641657c0f8e7ead755c9e9a564-------<p> use splitter instead of stringsplit in internetdomainnamee56f1aa3d21b04eed8f5481d4103c05af5c51ec7-------<p> use splitter for ipv6 too this eliminates usage of javautilregex from this file (which is used via stringsplit otherwise)65a2a7de4ef4eea913f769a5cbbce6e35e1fccce-------<p> use diamond27eb336c2a2d9068878edbf49edcca493cd69cd8-------<p> automated rollback of a12ef6b46b26fe178021c099e3db6a8a99f5174eit looks like the original change can cause an infinite loop in localcacheloadingvaluereferenceget()c2266a6ff8c6f298673688d6779b8b7368fe9147-------<p> dont enable use of unsafegetlong() on aarch64 devicesandroid devices may report to run aarch64 while running in 32-bit mode and thencrash when loading 64-bit values at unaligned addresses263bbcf6cf0cfae6768ddf9e9f3d749da555e422,    <!-- cla_yes --> || cla verified in #3107 ||,fix tostring of nonserializablememoizingsupplier,delegate is set to null once the value has been computed but is still referenced by the tostring method when its null use the value instead,first solution i thought of ||,1.0,0.0,dont enable use of unsafegetlong() on aarch64 devicesandroid devices may report to run aarch64 while running in 32-bit mode and thencrash when loading 64-bit values at unaligned addressesrelnotesn/a-------------created by moe: https://githubcom/google/moemoe_migrated_revid193371483,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,1.0,0,0.0,0,0,0.0,0,0.0,0,0,0
3495,0.0,0,1.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> remove  @beta  from  setfuture .  relnotes=removed  @beta  from  setfuture .  2c717c0092ad5abbbe6a34d426e084623c651354  -------  <p> upgrade maven-gpg-plugin to 1.6  fixes github.com/google/guava/pull/3490  c10a1647ffa968a96273d0961a6f9e0181a4fe70  -------  <p> clarify behavior of  immutablelist#copyof  for null argument.  3485  6f655fb940809499719ba7679a425961e39a8feb  -------  <p> make the incidentedges() documentation a little bit more clear.  b0a05097900ab2decf17681d3dcd9154f225d91f  -------  <p> simplify implementation of graphs.reachablenodes()  b917492c31401a2e6092c8f3f6bc60040c1dcebe  -------  <p> make the adjacentnodes() documentation a little bit more clear.  7a5a43b66a4f0a22077918404fa95a165ede2811  -------  <p> delete deprecated callwithtimeout().  fa13235f2c8edff9cd6c434f8a164250decf0249,,3485,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> remove `@beta` from `setfuture`relnotesremoved `@beta` from `setfuture`2c717c0092ad5abbbe6a34d426e084623c651354-------<p> upgrade maven-gpg-plugin to 16fixes githubcom/google/guava/pull/3490c10a1647ffa968a96273d0961a6f9e0181a4fe70-------<p> clarify behavior of `immutablelist#copyof` for null argument34856f655fb940809499719ba7679a425961e39a8feb-------<p> make the incidentedges() documentation a little bit more clearb0a05097900ab2decf17681d3dcd9154f225d91f-------<p> simplify implementation of graphsreachablenodes()b917492c31401a2e6092c8f3f6bc60040c1dcebe-------<p> make the adjacentnodes() documentation a little bit more clear7a5a43b66a4f0a22077918404fa95a165ede2811-------<p> delete deprecated callwithtimeout()fa13235f2c8edff9cd6c434f8a164250decf0249,,clarify behavior of `immutablelist#copyof` for null argument,,afaik this is the behavior of all immutablecollection types the class javadoc on immutablelist explicitly refers to the immutablecollection which mentions this at the top so these changes donâ€˜t seem necessary || the factories are tested by other automated null tests so lets not add more teststhe existing doc is trying to say that the methods reject null elements but its saying it poorly so thanks for raising this how about this?```@throws nullpointerexception if {@code elements} contains a null element```that skips mentioning that `elements` itself might be `null` but we always skip that preferring to annotate the parameters that _can_ be `null` with `@nullable` (otherwise nearly all of our methods would have `@throws nullpointerexception if x y or z is null`) ||,1.0,0.0,delete deprecated callwithtimeout()relnotesn/a-------------created by moe: https://githubcom/google/moemoe_migrated_revid251819931,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0
3635,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> check the array indexes in quantiles.scaleandindexes is non empty.  3210 fixes #3211  823a432ddaa2d274b539e12ed2bb46e5be0658ee  -------  <p> simplify some code.  fixes #3580  e2362def3408478a4a74d24671aef39171a1e93f  -------  <p> document the jdk 9+ alternative to  iterators#forenumeration   fixes #3382  e432be553038b4c67f22abb8c27f82ab6d480f3d  -------  <p> add a mime type mpeg-dash (mpd files)  fixes #2677  relnotes= net : added the  mediatype  constant for mpeg-dash.  579ccf6c0181097be7b895ec145f04502234ef0e  -------  <p> fix the logic that decides whether to use currentrequestthreadfactory() under app engine.  while there  also support thread renaming under app engine.  fixes  relevant to  (also  the cl in which i experimented with  before backing it out)  7bd4b2351c1483f34e7192768b4f3e7a10447c33,,2677,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> check the array indexes in quantilesscaleandindexes is non empty3210fixes #3211823a432ddaa2d274b539e12ed2bb46e5be0658ee-------<p> simplify some codefixes #3580e2362def3408478a4a74d24671aef39171a1e93f-------<p> document the jdk 9+ alternative to `iterators#forenumeration`fixes #3382e432be553038b4c67f22abb8c27f82ab6d480f3d-------<p> add a mime type mpeg-dash (mpd files)fixes #2677relnotes`net`: added the `mediatype` constant for mpeg-dash579ccf6c0181097be7b895ec145f04502234ef0e-------<p> fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)7bd4b2351c1483f34e7192768b4f3e7a10447c33, all non-googler contributions are taken from prs ||,add a mime type mpeg-dash (mpd files),this format is becoming a thing i couldnt find it in guavas media types,   ,1.0,0.0,fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)-------------created by moe: https://githubcom/google/moemoe_migrated_revid272446666,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0
3635,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> check the array indexes in quantiles.scaleandindexes is non empty.  3210 fixes #3211  823a432ddaa2d274b539e12ed2bb46e5be0658ee  -------  <p> simplify some code.  fixes #3580  e2362def3408478a4a74d24671aef39171a1e93f  -------  <p> document the jdk 9+ alternative to  iterators#forenumeration   fixes #3382  e432be553038b4c67f22abb8c27f82ab6d480f3d  -------  <p> add a mime type mpeg-dash (mpd files)  fixes #2677  relnotes= net : added the  mediatype  constant for mpeg-dash.  579ccf6c0181097be7b895ec145f04502234ef0e  -------  <p> fix the logic that decides whether to use currentrequestthreadfactory() under app engine.  while there  also support thread renaming under app engine.  fixes  relevant to  (also  the cl in which i experimented with  before backing it out)  7bd4b2351c1483f34e7192768b4f3e7a10447c33,,3210,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> check the array indexes in quantilesscaleandindexes is non empty3210fixes #3211823a432ddaa2d274b539e12ed2bb46e5be0658ee-------<p> simplify some codefixes #3580e2362def3408478a4a74d24671aef39171a1e93f-------<p> document the jdk 9+ alternative to `iterators#forenumeration`fixes #3382e432be553038b4c67f22abb8c27f82ab6d480f3d-------<p> add a mime type mpeg-dash (mpd files)fixes #2677relnotes`net`: added the `mediatype` constant for mpeg-dash579ccf6c0181097be7b895ec145f04502234ef0e-------<p> fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)7bd4b2351c1483f34e7192768b4f3e7a10447c33, all non-googler contributions are taken from prs ||,quantilesscaleandindexes#computeinplace throws an unexpected arrayindexoutofboundsexception if the array indexes is empty,in `quantilesscaleandindexes#computeinplace` if the array `indexes` of `quantilesscaleandindexes` is empty an unexpected `arrayindexoutofboundsexception` is thrownthe problem is if the last argument(`int indexes`) of `quantilesscaleandindexes` constructor is length of 0 `computeinplace` passes an invalid negative value as the third argument to the private method `selectallinplace` and causes the error to reproduce run this code:```javaimport comgooglecommonmathquantilesimport javautilmappublic class emptyindexes {   public static void main(string args) {       int empty  {}       int scale  10       int dataset {0 1 2 3 4 5}       quantilesscaleandindexes sai  quantilesscale(scale)indexes(empty)       map<integer double> map  saicomputeinplace(datatset_double)   }}```the program throws `arrayindexoutofboundsexception`this is an unfriendly error that can be easily  by using `checkargument()` in constructor of `quantilesscaleandindexes`,link to proposed fix: [pr #3211]( || thanks for this @nhatdinh  i guess we missed this error case ||,1.0,0.0,fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)-------------created by moe: https://githubcom/google/moemoe_migrated_revid272446666,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0
3635,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> check the array indexes in quantiles.scaleandindexes is non empty.  3210 fixes #3211  823a432ddaa2d274b539e12ed2bb46e5be0658ee  -------  <p> simplify some code.  fixes #3580  e2362def3408478a4a74d24671aef39171a1e93f  -------  <p> document the jdk 9+ alternative to  iterators#forenumeration   fixes #3382  e432be553038b4c67f22abb8c27f82ab6d480f3d  -------  <p> add a mime type mpeg-dash (mpd files)  fixes #2677  relnotes= net : added the  mediatype  constant for mpeg-dash.  579ccf6c0181097be7b895ec145f04502234ef0e  -------  <p> fix the logic that decides whether to use currentrequestthreadfactory() under app engine.  while there  also support thread renaming under app engine.  fixes  relevant to  (also  the cl in which i experimented with  before backing it out)  7bd4b2351c1483f34e7192768b4f3e7a10447c33,,3211,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> check the array indexes in quantilesscaleandindexes is non empty3210fixes #3211823a432ddaa2d274b539e12ed2bb46e5be0658ee-------<p> simplify some codefixes #3580e2362def3408478a4a74d24671aef39171a1e93f-------<p> document the jdk 9+ alternative to `iterators#forenumeration`fixes #3382e432be553038b4c67f22abb8c27f82ab6d480f3d-------<p> add a mime type mpeg-dash (mpd files)fixes #2677relnotes`net`: added the `mediatype` constant for mpeg-dash579ccf6c0181097be7b895ec145f04502234ef0e-------<p> fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)7bd4b2351c1483f34e7192768b4f3e7a10447c33, all non-googler contributions are taken from prs ||,check the array indexes in quantilesscaleandindexes is non empty,fix [issue #3210 ](https://githubcom/google/guava/issues/3210),   ,1.0,0.0,fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)-------------created by moe: https://githubcom/google/moemoe_migrated_revid272446666,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0
3635,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> check the array indexes in quantiles.scaleandindexes is non empty.  3210 fixes #3211  823a432ddaa2d274b539e12ed2bb46e5be0658ee  -------  <p> simplify some code.  fixes #3580  e2362def3408478a4a74d24671aef39171a1e93f  -------  <p> document the jdk 9+ alternative to  iterators#forenumeration   fixes #3382  e432be553038b4c67f22abb8c27f82ab6d480f3d  -------  <p> add a mime type mpeg-dash (mpd files)  fixes #2677  relnotes= net : added the  mediatype  constant for mpeg-dash.  579ccf6c0181097be7b895ec145f04502234ef0e  -------  <p> fix the logic that decides whether to use currentrequestthreadfactory() under app engine.  while there  also support thread renaming under app engine.  fixes  relevant to  (also  the cl in which i experimented with  before backing it out)  7bd4b2351c1483f34e7192768b4f3e7a10447c33,,3382,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> check the array indexes in quantilesscaleandindexes is non empty3210fixes #3211823a432ddaa2d274b539e12ed2bb46e5be0658ee-------<p> simplify some codefixes #3580e2362def3408478a4a74d24671aef39171a1e93f-------<p> document the jdk 9+ alternative to `iterators#forenumeration`fixes #3382e432be553038b4c67f22abb8c27f82ab6d480f3d-------<p> add a mime type mpeg-dash (mpd files)fixes #2677relnotes`net`: added the `mediatype` constant for mpeg-dash579ccf6c0181097be7b895ec145f04502234ef0e-------<p> fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)7bd4b2351c1483f34e7192768b4f3e7a10447c33, all non-googler contributions are taken from prs ||,document the jdk 9+ alternative to `iterators#forenumeration`,- copied the phrasing from the various `streamsstream(optional*)` methods- didnt update the documentation in the android code base (which also mirrors the approach taken for the `streamsstream(optional*)` methods)- not completely sure whether the `unmodifiableiterator`/`iterator` distinction is worth pointing out,the jdk 11 build failures are unrelated to this change ||,1.0,0.0,fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)-------------created by moe: https://githubcom/google/moemoe_migrated_revid272446666,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0
3635,0.0,0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,1.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,1.0,0,0.0,0,0.0,0,0.0,moe sync,this code has been reviewed and submitted internally. feel free to discuss on the pr and we can submit follow-up changes as necessary.  commits: ===== <p> check the array indexes in quantiles.scaleandindexes is non empty.  3210 fixes #3211  823a432ddaa2d274b539e12ed2bb46e5be0658ee  -------  <p> simplify some code.  fixes #3580  e2362def3408478a4a74d24671aef39171a1e93f  -------  <p> document the jdk 9+ alternative to  iterators#forenumeration   fixes #3382  e432be553038b4c67f22abb8c27f82ab6d480f3d  -------  <p> add a mime type mpeg-dash (mpd files)  fixes #2677  relnotes= net : added the  mediatype  constant for mpeg-dash.  579ccf6c0181097be7b895ec145f04502234ef0e  -------  <p> fix the logic that decides whether to use currentrequestthreadfactory() under app engine.  while there  also support thread renaming under app engine.  fixes  relevant to  (also  the cl in which i experimented with  before backing it out)  7bd4b2351c1483f34e7192768b4f3e7a10447c33,,3580,moe sync,this code has been reviewed and submitted internally feel free to discuss on the pr and we can submit follow-up changes as necessarycommits:<p> check the array indexes in quantilesscaleandindexes is non empty3210fixes #3211823a432ddaa2d274b539e12ed2bb46e5be0658ee-------<p> simplify some codefixes #3580e2362def3408478a4a74d24671aef39171a1e93f-------<p> document the jdk 9+ alternative to `iterators#forenumeration`fixes #3382e432be553038b4c67f22abb8c27f82ab6d480f3d-------<p> add a mime type mpeg-dash (mpd files)fixes #2677relnotes`net`: added the `mediatype` constant for mpeg-dash579ccf6c0181097be7b895ec145f04502234ef0e-------<p> fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)7bd4b2351c1483f34e7192768b4f3e7a10447c33, all non-googler contributions are taken from prs ||,simplify some code,remove some redundant if statementbesides i use toarray(new myclass[0])  replace toarray(new myclass[mylistsize()]) for improving the  efficiency  of the codehttps://stackoverflowcom/questions/174093/toarraynew-myclass0-or-toarraynew-myclassmylist-size,       i signed it! || clas look good thanks!  || -1 on the localcache changes just as commented in pr #3492 this fixes what is presumably reported by an ide at the expense of readability for no real reason  || @ljacqu ohsorry i prefer the version that i commit because i would do the same thing in my daily codingi can also understand that different projects have different coding styles do you mean that all the changes of if statement is unnecessary? if you think so i would revert them into the master version! || @ljacqu  i think that sum  0 needs to be preserved because sum  0 itself has the meaning of isempty positive thinking is more conducive to peoples understanding than negative thinkingif you do not agree with that i can also revert other if statement to the master versionlook forward to your reply || sorry if there was any misunderstanding iâ€˜m not in any way affiliated/involved with guava â€“ i just posted a comment as an individual passing by :) || @ljacqu  thatâ€™s all righti am very glad that you can reply to this prthanks for your suggestion ||,1.0,0.0,fix the logic that decides whether to use currentrequestthreadfactory() under app enginewhile there also support thread renaming under app enginefixes  to  the cl in which i experimented with  before backing it out)-------------created by moe: https://githubcom/google/moemoe_migrated_revid272446666,,1.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0.0,0,1.0,0,0,0.0,0,0.0,0,0.0,0,0,0.0,0,0.0,0,0,0
